"464382089,2026-07-02T12:34:40Z,1405/04/11 16:04,احسان,ahsan2025,quote,#وتوسم \nمحمد . ف عزیز ، چرا پستها را به درستی مطالعه نمی فرمائید . \n- دقت کنید ، من در مورد پرتفوی خودم گفتم 20 درصد نمادهایی که دارم مثبت و 80 درصد بقیه منفی هستند ، اصلا بحث پرتفوی نماد وتوسم نبود !!! \nدر ضمن من علاوه بر اینکه سهامدار بلند مدتی وتوسم و ....  هستم ، طلا هم خریدم و باز هم می خرم ، اگر پستهای قبلی من را مطالعه کنید متوجه خواهید شد که اصلا اهل سمپاشی هم نیستم .\nموفق باشید یا حق ."
"464382069,2026-07-02T12:31:16Z,1405/04/11 16:01,حمید,hamid3343,twit,#پترول بنظر من اصلا از قیمتش دلخور نباشید به چشم فرصت نگاه کنید بعد اگر خودتون صلاح دونستید اضاف کنید ولله چند تا سهمو چند ساله یواش یواش خریدم یکیش پترول عاجز میکنه ولی جواب میده ی زمانی حق هاشو فروختم سهمی 2000 تومن"
"464382060,2026-07-02T12:30:34Z,1405/04/11 16:00,میتی کمان تابا دوست,miti1396,quote,مقامات نظامی و دولتی این توافق را تایید کردند یعنی وحیدی و حاتمی و ذوالقدر و پزشکیان و قالیبافو عراقچی نمیفهمند فقط شما 4تا جلیلی چی میفهمید فرماندهان نظامی بهتر میدانند کی وقت جنگه کی نفس گیری و آماده شدن برای ادامه جنگ و کی صلح"
"464382044,2026-07-02T12:28:53Z,1405/04/11 15:58,ab1112,ab1112,twit,https://pwa.goldcup.ir/login/?ref=X55MLLBV"
"464382038,2026-07-02T12:28:35Z,1405/04/11 15:58,ab1112,ab1112,twit,#های_وب https://pwa.goldcup.ir/login/?ref=X55MLLBV"
"464382033,2026-07-02T12:28:15Z,1405/04/11 15:58,sorena,sorena53,twit,#ذوب#وتجارت#وبملت  الحدث عربستان: \nدور بعدی مذاکرات هفته آینده با حضور عراقچی و قالیباف در  در بورگن اشتوک برگزار  میشود"
"464382019,2026-07-02T12:27:09Z,1405/04/11 15:57,sorena,sorena53,twit,#های_وب #خساپا#خودر  الحدث عربستان: \nدور بعدی مذاکرات هفته آینده با حضور عراقچی و قالیباف در  در بورگن اشتوک براگزار خواهد شد"
"464381997,2026-07-02T12:23:19Z,1405/04/11 15:53,Ahmadi_Milasi,yaghoob1993,quote,#اخابر \nچرا ثروت تولید نمیکنین؟ تسویه زمین های مخابرات به پست بانک روستایی کی انجام میشه؟ فقط پول زمین قیمت روز. پست بانک همه زمین های مردم توی شرکت مخابرات ایران رو بالا کشید. بهترین نقطات روستا.\n* هر نقل و انتقالی باید بر پایه ریال باشه. باید دید حساب کتاب شما مشکل داره یا خیر. بخشی از هزینه ها عمدا پنهان میکنن."
"464381977,2026-07-02T12:20:49Z,1405/04/11 15:50,Mohammad ,mohamad174,twit,#خساپا  \nگزارش ۱۲ ماهه؛ هنوز زیان‌ساز، اما چند سیگنال امیدوارکننده در دل صورت‌های مالی\n\n شرکت ایرانی تولید اتومبیل سایپا صورت‌های مالی تلفیقی ۱۲ ماهه منتهی به ۲۹ اسفند ۱۴۰۴ (حسابرسی‌نشده) را منتشر کرد.\n\n آنچه در نگاه اول دیده می‌شود: ▪️ زیان هر سهم به ۱۵۱ ریال رسید؛ در حالی که سال گذشته ۱۱۷ ریال بود.\n▪️ زیان خالص شرکت اصلی با رشد ۳۰ درصدی به ۲۴۵ هزار میلیارد ریال افزایش یافت.\n▪️ در سطح تلفیقی نیز گروه سایپا ۶۳۸.۸ هزار میلیارد ریال زیان شناسایی کرد که نسبت به سال قبل ۵۷ درصد بیشتر شده است. افت درآمد عملیاتی، رشد زیان عملیاتی و افزایش هزینه‌های مالی از مهم‌ترین عوامل این عملکرد بوده‌اند.\n\n🟢 اما گزارش، خالی از نکات امیدوارکننده هم نیست:\n\n✅ نقدینگی تقویت شده است. موجودی نقد گروه با رشد ۸۶ درصدی به بیش از ۱۳۵ هزار میلیارد ریال رسیده که از منظر مدیریت نقدینگی اتفاق مثبتی محسوب می‌شود.\n\n✅ جریان نقد عملیاتی همچنان مثبت است. با وجود زیان حسابداری، شرکت موفق شده از محل عملیات، جریان نقد مثبت ایجاد کند؛ موضوعی که برای یک خودروساز اهمیت بالایی دارد.\n\n✅ فشار سرمایه‌گذاری کاهش یافته است. خروج نقد از فعالیت‌های سرمایه‌گذاری نسبت به سال قبل به شکل محسوسی کمتر شده و این موضوع به حفظ نقدینگی کمک کرده است.\n\n✅ سهم شرکت‌های وابسته عملکرد بهتری داشته‌اند. سود حاصل از شرکت‌های وابسته نسبت به سال گذشته ۲۳ درصد رشد کرده و بخشی از فشار زیان را جبران کرده است.\n\n✅ دارایی‌های گروه همچنان در حال رشد است. مجموع دارایی‌های تلفیقی با رشد ۲۵ درصدی به بیش از ۲.۵۶۶ میلیون میلیارد ریال رسیده که در صورت اصلاح ساختار مالی و بهبود سودآوری، می‌تواند پشتوانه مهمی برای شرکت باشد.\n\n📊 گزارش ۱۲ ماهه «خساپا» هنوز از منظر سودآوری، گزارش قدرتمندی نیست و روند افزایش زیان مهم‌ترین نکته آن محسوب می‌شود. اما در کنار این موضوع، بهبود نقدینگی، جریان نقد عملیاتی مثبت، رشد دارایی‌ها و عملکرد بهتر شرکت‌های وابسته نشان می‌دهد که همه متغیرهای عملکردی شرکت در مسیر منفی حرکت نکرده‌اند.\n\nبازار احتمالاً در ادامه، بیش از هر چیز روند اصلاح بهای تمام‌شده، کنترل هزینه‌های مالی، افزایش تیراژ تولید و برنامه‌های اصلاح ساختار مالی را دنبال خواهد کرد؛ عواملی که می‌توانند مسیر سودآوری سایپا را در دوره‌های آینده تعیین کنند.\n\n@akhb"
"464381966,2026-07-02T12:19:55Z,1405/04/11 15:49,ایمان,imnsh,quote,#تپکو بنظر من اشتباه کردی باید میزاشتی ۱۷ تیر میخریدی که ۱۷ برابر بشه 😍😍"
